Course Name,Study area,Study type,Location,Entry Score,Prerequisites,Student type,Learning mode,Duration,Fees,Next intake,Course Page
Master of Engineering (International Automotive Engineering),Engineering,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Engineering (Management),Engineering,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Engineering (Manufacturing),Engineering,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Engineering (Mechanics Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Robotics and Mechatronics Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Sustainable Energy),Engineering,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Engineering (Telecommunication and Network Engineering),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Science (Aviation),Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Sustainable Practice,Engineering,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Aerospace Engineering and Aviation),Engineering,Research,Bundoora,,,International,On campus,,,,
Master of Engineering (Biomedical Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
Master of Engineering (Chemical Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
Master of Engineering (Civil Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
Master of Engineering (Electrical & Electronic Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
Master of Engineering (Environmental Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
"Master of Engineering (Mechanics, Manufacturing and Mechatronic Engineering)",Engineering,Research,Bundoora,,,International,On campus,,,,
Master of Science (Geospatial Sciences),Engineering,Research,Melbourne City,,,International,On campus,,,,
PhD (Aerospace Engineering and Aviation),Engineering,Research,"Melbourne City, Bundoora",,,International,On campus,,,,
PhD (Chemical Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
PhD (Civil Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
PhD (Electrical & Electronic Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
PhD (Environmental Engineering),Engineering,Research,Melbourne City,,,International,On campus,,,,
PhD (Geospatial Sciences),Engineering,Research,Melbourne City,,,International,On campus,,,,
"PhD (Mechanical, Manufacturing and Mechatronic Engineering)",Engineering,Research,Bundoora,,,International,On campus,,,,
Master of Energy Efficient and Sustainable Building,Environment,PG,Melbourne City,,,International,On campus,,,,
Master of Sustainable Practice,Environment,PG,Melbourne City,Not applicable,,International,On campus,,,,
Master of Urban Planning and Environment,Environment,PG,"Melbourne City, Online",,,International,On campus,,,,
Master of Engineering (Environmental Engineering),Environment,Research,Melbourne City,,,International,On campus,,,,
PhD (Environmental Engineering),Environment,Research,Melbourne City,,,International,On campus,,,,
Master of Fashion (Design),Fashion,PG,Melbourne City,,,International,On campus,,,,
Master of Fashion (Entrepreneurship),Fashion,PG,Brunswick,,,International,On campus,,,,
Master of Design (Fashion & Textiles),Fashion,Research,"Melbourne City, Brunswick",,,International,On campus,,,,
Master of Technology (Fashion & Textiles),Fashion,Research,Brunswick,,,International,On campus,,,,
PhD (Fashion & Textiles),Fashion,Research,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Occupational Health and Safety,Health science,PG,Melbourne City,,,International,On campus,,,,
Graduate Diploma in Mental Health Nursing,Health science,PG,Bundoora,,,International,On campus,,,,
Master of Clinical Psychology,Health science,PG,Bundoora,,,International,On campus,,,,
Master of Occupational Health and Safety,Health science,PG,Melbourne City,,,International,On campus,,,,
Master of Physiotherapy,Health science,PG,Bundoora,,,International,On campus,,,,
Master of Applied Science (Health & Medical Physics),Health science,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Digital Health),Health science,Research,Bundoora,,,International,On campus,,,,
Master of Science (Medical Radiations Science),Health science,Research,Bundoora,,,International,On campus,,,,
Master of Science (Psychology),Health science,Research,Bundoora,,,International,On campus,,,,
PhD (Digital Health),Health science,Research,Bundoora,,,International,On campus,,,,
PhD (Psychology),Health science,Research,Bundoora,,,International,On campus,,,,
Graduate Certificate in Business Information Technology,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Analytics,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Artificial Intelligence,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Business Information Technology,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Cyber Security,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Data Science,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Engineering (Telecommunication and Network Engineering),Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Information Technology,Information technology,PG,Melbourne City,,,International,On campus,,,,
Master of Business (Business Information Systems),Information technology,Research,Melbourne City,,,International,On campus,,,,
Master of Engineering (Electrical & Electronic Engineering),Information technology,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Computer Science),Information technology,Research,Melbourne City,,,International,On campus,,,,
PhD (Business Information Systems),Information technology,Research,Melbourne City,,,International,On campus,,,,
PhD (Computer Science),Information technology,Research,Melbourne City,,,International,On campus,,,,
PhD (Electrical & Electronic Engineering),Information technology,Research,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Justice and Criminology,Law,PG,Melbourne City,,,International,On campus,,,,
Juris Doctor,Law,PG,"Melbourne City, Online",,,International,On campus,,,,
Master of Justice and Criminology,Law,PG,Melbourne City,,,International,On campus,,,,
Master of Public Policy,Law,PG,Melbourne City,,,International,On campus,,,,
Master of Business (Business & Law),Law,Research,Melbourne City,,,International,On campus,,,,
"Master of Social Science (Global, Urban & Social Studies)",Law,Research,Melbourne City,,,International,On campus,,,,
"PhD (Global, Urban & Social Studies)",Law,Research,Melbourne City,,,International,On campus,,,,
PhD (Law),Law,Research,Melbourne City,,,International,On campus,,,,
Graduate Diploma in Journalism,Media,PG,Melbourne City,,,International,On campus,,,,
Master of Media,Media,PG,Melbourne City,,,International,On campus,,,,
Master of Writing and Publishing,Media,PG,Melbourne City,,,International,On campus,,,,
